Timestamp,How did you communicate with the student?,Date of Interaction,Day of week for interaction,Time of day,SAM,Class year of the student,Student,Interaction with Student,Student's Academic Interests,What types of questions did you answer or discuss?
3/8/21 20:44,Email/Text,2/16/21,Tuesday,Evening,Bethany,First Year,On-Campus,First time interaction,Social Sciences,"Participating In Class, Reading for Class"
3/8/21 20:46,In-Person,2/17/21,Wednesday,Evening,Bethany,Junior,On-Campus,First time interaction,Social Sciences,Time Management
3/8/21 20:48,Email/Text,2/16/21,Tuesday,Afternoon,Bethany,First Year,Remote,First time interaction,Undecided,Sophomore Planning
3/11/21 9:59,Drop-In Hours,3/11/21,Thursday,Morning,Bethany,,Remote,First time interaction,,Talking to Professors
3/18/21 14:04,Drop-In Hours,3/17/21,Wednesday,Evening,Bethany,Sophomore,,First time interaction,Natural Sciences,Sophomore Planning
3/23/21 15:38,Zoom / Video (e.g. office hours or study break),3/23/21,Tuesday,Afternoon,Bethany,First Year,Remote,First time interaction,Natural Sciences,"Talking to Professors, Time Management"
3/16/21 12:44,Drop-In Hours,3/9/21,Tuesday,Evening,Dana,Sophomore,,First time interaction,Natural Sciences,Sophomore Planning
3/7/21 18:25,Zoom / Video (e.g. office hours or study break),3/7/21,Sunday,Evening,Jacqueline,Sophomore,Remote,Follow-up,"Social Sciences, Humanities",Sophomore Planning
3/5/21 10:18,Email/Text,3/5/21,Friday,Morning,Jacqueline,Sophomore,Remote,Follow-up,"Social Sciences, Humanities",Sophomore Planning
3/1/21 20:07,Zoom / Video (e.g. office hours or study break),3/1/21,Monday,Evening,Jacqueline,Junior,On-Campus,First time interaction,,"Time management, Procrastination, Ideal work environment, efficient reading/skimming"
2/25/21 11:26,Email/Text,2/25/21,Thursday,Morning,Jacqueline,Sophomore,On-Campus,Follow-up,,Organization
2/24/21 11:29,Email/Text,2/24/21,Wednesday,Morning,Jacqueline,Sophomore,On-Campus,Follow-up,,Sophomore Planning
2/22/21 11:25,Email/Text,2/21/21,Sunday,Evening,Jacqueline,Junior,,Follow-up,,Course Sign Up / Registration
2/19/21 11:06,Email/Text,2/19/21,Friday,Morning,Jacqueline,Sophomore,On-Campus,Follow-up,Natural Sciences,"Dropping a class/adding a new one, reaching out to a professor to find a study group"
2/16/21 15:02,Email/Text,2/16/21,Tuesday,Afternoon,Jacqueline,Sophomore,Remote,First time interaction,Social Sciences,Sophomore Planning
2/16/21 21:05,Drop-In Hours,2/16/21,Tuesday,Evening,Jacqueline,Sophomore,Remote,First time interaction,,Time Management
2/16/21 22:06,Drop-In Hours,2/16/21,Tuesday,Evening,Jacqueline,Sophomore,On-Campus,First time interaction,Natural Sciences,"Time Management, workload, potentially dropping a class"
3/9/21 21:17,Email/Text,3/9/21,Tuesday,Afternoon,Jacqueline,Sophomore,Remote,Follow-up,Natural Sciences,Being a SAM
3/14/21 20:41,Drop-In Hours,3/11/21,Thursday,Evening,Jacqueline,Sophomore,,First time interaction,Social Sciences,Sophomore Planning
3/14/21 20:43,Email/Text,3/13/21,Saturday,Afternoon,Jacqueline,First Year,On-Campus,Follow-up,Humanities,Applying as a SAM
